Q1,Q1_1_TEXT,Q1_2_TEXT,Q2,Q2_1_TEXT,Q2_2_TEXT,Q3,Q4,Q4_1_TEXT,Q4_2_TEXT,Q5
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Maldives,647,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",,https://web.archive.org/web/20200716151956/https://presidency.gov.mv/Press/Article/23425,Jul,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Maldives,MS58,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",,https://web.archive.org/web/20200716151956/https://presidency.gov.mv/Press/Article/23425,Jul,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Maldives,MS59,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",,https://web.archive.org/web/20200716151956/https://presidency.gov.mv/Press/Article/23425,Jul,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Maldives,MS60,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",,https://web.archive.org/web/20200716151956/https://presidency.gov.mv/Press/Article/23425,Jul,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Maldives,MS61,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",,https://web.archive.org/web/20200716151956/https://presidency.gov.mv/Press/Article/23425,Jul,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Sierra Leone,1759,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",,https://web.archive.org/web/20200816105659/https://www.afro.who.int/news/sierra-leone-ready-reopen-airport-passenger-flights,Jul,Enter number 1-31 here,22,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Seychelles,10248,Enter policy ID number of superseding policy here,16549,,Aug,Enter number 1-31 here,5,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Seychelles,12769,"Enter policy ID number of superseding policy here,No, this policy has an end date but no new policy",16552,,Aug,Enter number 1-31 here,1,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Venezuela,2090,"Enter policy ID number of superseding policy here,No, this policy has an end date but no new policy",16706,,Aug,Enter number 1-31 here,12,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bahrain,EB11,Enter policy ID number of superseding policy here,16710,,Sept,Enter number 1-31 here,4,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",North Macedonia Republic Of,15893,"Enter policy ID number of superseding policy here,No, this policy has an end date but no new policy",15890,,Jul,Enter number 1-31 here,1,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Rwanda,13374,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",16885,https://web.archive.org/web/20200722220744/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,Aug,Enter number 1-31 here,01,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Afghanistan,6,"No, this policy has an end date but no new policy",,,May,Enter number 1-31 here,2,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Afghanistan,11020,"No, this policy has an end date but no new policy",,,Jul,Enter number 1-31 here,1,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Anguilla,CK3,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",CK4,https://web.archive.org/web/20200714201537/https://beatcovid19.ai/current-country-or-territory-from-which-repatriations-will-be-allowed-12-7-2020/,Jul,Enter number 1-31 here,12,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.","Saint Helena, Ascension, and Tristan da Cunha",CK5,"No, this policy has an end date but no new policy",,,Aug,Enter number 1-31 here,3,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1662,"No, this policy has an end date but no new policy",,,Oct,Enter number 1-31 here,1,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Belize,1662,"No, this policy has an end date but no new policy",,,Aug,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1662,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",1663,http://web.archive.org/web/20200323195354/http://health.gov.bz/www/component/content/article/177-general-health/1024-belize-announces-new-measures-in-response-to-covid-19,Mar,Enter number 1-31 here,16,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Belize,1662,"No, this policy has an end date but no new policy",,,Oct,Enter number 1-31 here,1,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1664,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",16698,http://web.archive.org/web/20200323195354/http://health.gov.bz/www/component/content/article/177-general-health/1024-belize-announces-new-measures-in-response-to-covid-19,Mar,Enter number 1-31 here,16,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1856,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",1664,http://web.archive.org/web/20200430161255/http://health.gov.bz/www/component/content/article/177-general-health/1022-ministry-of-health-advisory-no-11-update-on-covid-19,Mar,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1698,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",7520,http://web.archive.org/web/20200503130408/http://health.gov.bz/www/component/content/article/177-general-health/1027--covid-19-alert-regarding-border-closures,Mar,Enter number 1-31 here,22,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Portugal,53,Enter policy ID number of superseding policy here,SN1,,Jun,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bahamas,4881,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,30,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bahamas,106,Enter policy ID number of superseding policy here,4881,,Mar,Enter number 1-31 here,24,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.", Antigua and Barbuda,228,Enter policy ID number of superseding policy here,16,,Mar,Enter number 1-31 here,19,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.", Antigua and Barbuda,EB14,Enter policy ID number of superseding policy here,EB15,,Mar,Enter number 1-31 here,10,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.", Antigua and Barbuda,EB15,Enter policy ID number of superseding policy here,228,,Mar,Enter number 1-31 here,12,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Antigua and Barbuda,EB16,Enter policy ID number of superseding policy here,EB17,,Mar,Enter number 1-31 here,26,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Antigua and Barbuda,EB17,Enter policy ID number of superseding policy here,EB18,,Apr,Enter number 1-31 here,26,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.", Antigua and Barbuda,EB17,Enter policy ID number of superseding policy here,EB18,,Apr,Enter number 1-31 here,23,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.", Antigua and Barbuda,EB18,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,1,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bahrain,1104,Enter policy ID number of superseding policy here,EB11,,Mar,Enter number 1-31 here,25,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bahrain,2214,Enter policy ID number of superseding policy here,EB11,,Mar,Enter number 1-31 here,25,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bahrain,2214,"No, this policy has an end date but no new policy",,,Jul,Enter number 1-31 here,21,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cook Islands,EB21,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS9, https://web.archive.org/web/20200402131848/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,26,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Dominican Republic,1475,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",1474, https://web.archive.org/web/20200403034458/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,19,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Dominican Republic,1474,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",7096, https://web.archive.org/web/20200316154535/https://dominicantoday.com/dr/local/2020/03/15/government-suspends-flights-to-europe-china-korea-and-iran-among-other-measures-for-coronavirus/,Mar,Enter number 1-31 here,31,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Dominican Republic,7096,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",,https://web.archive.org/web/2/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,Jul,Enter number 1-31 here,2,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Timor-Leste,291,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",6967,https://web.archive.org/web/20200530143038/http://timor-leste.gov.tl/?p=23729&lang=en,Mar,Enter number 1-31 here,19,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.", Timor-Leste,6967,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",8543, https://web.archive.org/web/20200505104712/http://timor-leste.gov.tl/?p=24225&lang=en,Mar,Enter number 1-31 here,28,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.", Northern Mariana Islands,MS42,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",, https://drive.google.com/file/d/19MTxPx4gJqPSdXGAmhgbk5kuRhvbw-83/view,Apr,Enter number 1-31 here,30,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.", Aland Islands,MS67,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bonaire,EB13,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",EB25, https://web.archive.org/save/https://www.tourismbonaire.com/news-flash/new-bonaire-travel-restrictions-due-to-covid-19,Jun,Enter number 1-31 here,11,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bonaire,EB24,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",EB25, https://web.archive.org/save/https://www.tourismbonaire.com/news-flash/new-bonaire-travel-restrictions-due-to-covid-19,Jun,Enter number 1-31 here,11,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bonaire,EB25,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",EB26, https://web.archive.org/web/20200601121101/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,Jul,Enter number 1-31 here,1,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Myanmar, 4357,"Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",, https://web.archive.org/web/20200504213529/https://www.mofa.gov.mm/additional-precautionary-restrictions-for-travellers-visiting-myanmar-to-prevent-spread-of-covid-19/,Apr,Enter number 1-31 here,30,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Myanmar,4357,Enter policy ID number of superseding policy here, 8346,,Apr,Enter number 1-31 here,30,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cambodia,504,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",7177, https://web.archive.org/web/20200425023450/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,Mar,Enter number 1-31 here,31,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cambodia,7177,"No, this policy has an end date but no new policy",,,May,Enter number 1-31 here,20,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cyprus,218,Enter policy ID number of superseding policy here,6500,,Mar,Enter number 1-31 here,21,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cyprus,6500,Enter policy ID number of superseding policy here,9020,,Apr,Enter number 1-31 here,18,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cyprus,9020,Enter policy ID number of superseding policy here,EB12,,Jun,Enter number 1-31 here,9,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cyprus,EB12,Enter policy ID number of superseding policy here,EB19,,Jun,Enter number 1-31 here,10,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cyprus,EB19,Enter policy ID number of superseding policy here,EB20,,Jun,Enter number 1-31 here,20,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Portugal,53,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Portugal,809,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cyprus,EB20,Enter policy ID number of superseding policy here,EB39,,Jul,Enter number 1-31 here,13,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Portugal,6394,"No, this policy has an end date but no new policy",,,Jul,Enter number 1-31 here,16,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Portugal,6394,"No, this policy has an end date but no new policy",,,Jul,Enter number 1-31 here,31,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Portugal,6394,"No, this policy has an end date but no new policy",,,Oct,Enter number 1-31 here,1,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Sweden,2380,"No, this policy has an end date but no new policy",,,Oct,Enter number 1-31 here,31,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Sweden,12883,"No, this policy has an end date but no new policy",,,Oct,Enter number 1-31 here,31,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Slovakia,312,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,5,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Slovakia,312,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",12872,https://web.archive.org/web/20200621150115/https://www.vlada.gov.sk//igor-matovic-otvarame-hranice-medzi-ceskom-madarskom-rakuskom-a-sr/,Jun,Enter number 1-31 here,5,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Latvia,424,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",6159,https://web.archive.org/web/20200522171728/https://www.mfa.gov.lv/en/consular-information/news/66019-emergency-situation-in-latvia-to-restrict-the-spread-of-covid-19,May,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Latvia,6159,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",SN3,https://web.archive.org/web/20200609191740/https://www.garda.com/crisis24/news-alerts/347721/latvia-authorities-relax-border-measures-from-june-3-update-7,Jun,Enter number 1-31 here,3,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Angola,1070,"No, this policy has an end date but no new policy",,,Sept,Enter number 1-31 here,14,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Angola,1070,"No, this policy has an end date but no new policy",,,Sept,Enter number 1-31 here,21,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Angola,1070,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",SN4,,Sept,Enter number 1-31 here,21,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Guinea-Bissau,1267,"No, this policy has an end date but no new policy",,,Aug,Enter number 1-31 here,1,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Mozambique,3266,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",SN5,https://web.archive.org/web/20201016230911/https://www.worldaware.com/covid-19-alert-varying-travel-restrictions-measures-remain-place-across-africa,Sept,Enter number 1-31 here,7,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Sao Tome and Principe,9585,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",SN6,https://web.archive.org/web/20200411125738/https://ga.usembassy.gov/u-s-citizen-services/coronavirus-update/,Mar,Enter number 1-31 here,20,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Panama,1192,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",1189,https://web.archive.org/web/20200320135415/http://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,23,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Panama,1192,"No, this policy has an end date but no new policy",,,Oct,Enter number 1-31 here,12,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1661,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS5,http://web.archive.org/web/20200503130408/http://health.gov.bz/www/component/content/article/177-general-health/1027--covid-19-alert-regarding-border-closures,Mar,Enter number 1-31 here,23,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1662,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS5,http://web.archive.org/web/20200503130408/http://health.gov.bz/www/component/content/article/177-general-health/1027--covid-19-alert-regarding-border-closures,Mar,Enter number 1-31 here,23,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1664,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",1698,http://web.archive.org/web/20200323195354/http://health.gov.bz/www/component/content/article/177-general-health/1024-belize-announces-new-measures-in-response-to-covid-19,Mar,Enter number 1-31 here,16,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1698,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS5,http://web.archive.org/web/20200503130408/http://health.gov.bz/www/component/content/article/177-general-health/1027--covid-19-alert-regarding-border-closures,Mar,Enter number 1-31 here,23,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1699,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS5,http://web.archive.org/web/20200503130408/http://health.gov.bz/www/component/content/article/177-general-health/1027--covid-19-alert-regarding-border-closures,Mar,Enter number 1-31 here,23,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,1856,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",1664,http://web.archive.org/web/20200430161255/http://health.gov.bz/www/component/content/article/177-general-health/1022-ministry-of-health-advisory-no-11-update-on-covid-19,Mar,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,7520,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS5,http://web.archive.org/web/20200503130408/http://health.gov.bz/www/component/content/article/177-general-health/1027--covid-19-alert-regarding-border-closures,Mar,Enter number 1-31 here,23,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,MS5,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",7708,https://www.facebook.com/GOBPressOffice/photos/a.150654578303387/2815141491854669/?type=3&theater,Apr,Enter number 1-31 here,5,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,7708,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",SN8,https://web.archive.org/web/20201017001240if_/https://www.facebook.com/GOBPressOffice/posts/3295600097142137?__tn__=K-R,Jun,Enter number 1-31 here,5,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Slovenia,3824,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",3812,https://www.garda.com/crisis24/news-alerts/327456/slovenia-additional-restrictive-measures-implemented-due-to-covid-19-march-30-update-4,Mar,Enter number 1-31 here,30,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Slovenia,3812,"No, this policy has an end date but no new policy",,,May,Enter number 1-31 here,12,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Belize,7708,"No, this policy has an end date but no new policy",,,Oct,Enter number 1-31 here,1,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bermuda,CK6,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,11,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Bosnia and Herzegovina,18,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",900,http://www.vijeceministara.gov.ba/saopstenja/sjednice/saopstenja/sa/sjednica/default.aspx?id=32556&langTag=en-US,Mar,Enter number 1-31 here,15,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bosnia and Herzegovina,900,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another),No, this policy has an end date but no new policy",CK7,https://web.archive.org/web/20200721094104/https://www.sarajevotimes.com/165064-2/,Jul,Enter number 1-31 here,14,,
